dbms	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME	ORDINAL_POSITION	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	CONSTRAINT_TYPE	REFERENCED_TABLE_SCHEMA	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
mysql	sys	sys_config	variable	1	varchar	128	PRIMARY KEY	NULL	NULL	NULL
mysql	sys	sys_config	value	2	varchar	128	NULL	NULL	NULL	NULL
mysql	sys	sys_config	set_time	3	timestamp	NULL	NULL	NULL	NULL	NULL
mysql	sys	sys_config	set_by	4	varchar	128	NULL	NULL	NULL	NULL
mysql	health_monitoring	users	id	1	bigint	NULL	PRIMARY KEY	NULL	NULL	NULL
mysql	health_monitoring	users	name	2	varchar	255	NULL	NULL	NULL	NULL
mysql	health_monitoring	users	email	3	varchar	255	UNIQUE	NULL	NULL	NULL
mysql	health_monitoring	users	phone	4	varchar	255	NULL	NULL	NULL	NULL
mysql	health_monitoring	users	address	5	text	65535	NULL	NULL	NULL	NULL
mysql	health_monitoring	users	password	6	varchar	255	NULL	NULL	NULL	NULL
mysql	health_monitoring	users	role	7	enum	14	NULL	NULL	NULL	NULL
mysql	health_monitoring	users	email_verified_at	8	timestamp	NULL	NULL	NULL	NULL	NULL
mysql	health_monitoring	users	remember_token	9	varchar	100	NULL	NULL	NULL	NULL
mysql	health_monitoring	users	created_at	10	timestamp	NULL	NULL	NULL	NULL	NULL
mysql	health_monitoring	users	updated_at	11	timestamp	NULL	NULL	NULL	NULL	NULL
mysql	health_monitoring	password_reset_tokens	email	1	varchar	255	PRIMARY KEY	NULL	NULL	NULL
mysql	health_monitoring	password_reset_tokens	token	2	varchar	255	NULL	NULL	NULL	NULL
mysql	health_monitoring	password_reset_tokens	created_at	3	timestamp	NULL	NULL	NULL	NULL	NULL
mysql	health_monitoring	sessions	id	1	varchar	255	PRIMARY KEY	NULL	NULL	NULL
mysql	health_monitoring	sessions	user_id	2	bigint	NULL	NULL	NULL	NULL	NULL
mysql	health_monitoring	sessions	ip_address	3	varchar	45	NULL	NULL	NULL	NULL
mysql	health_monitoring	sessions	user_agent	4	text	65535	NULL	NULL	NULL	NULL
mysql	health_monitoring	sessions	payload	5	longtext	4294967295	NULL	NULL	NULL	NULL
mysql	health_monitoring	sessions	last_activity	6	int	NULL	NULL	NULL	NULL	NULL
mysql	health_monitoring	patients	id	1	bigint	NULL	PRIMARY KEY	NULL	NULL	NULL
mysql	health_monitoring	patients	user_id	2	bigint	NULL	FOREIGN KEY	health_monitoring	users	id
